,gender,age,income,transaction_frequency,average_transaction_amount,click_rate,completion_rate,cluster,offer_received_A,offer_received_B,offer_received_C,offer_received_D,offer_received_E,offer_received_F,offer_received_G,offer_received_H,offer_received_I,offer_received_J,offer_viewed_A,offer_viewed_B,offer_viewed_C,offer_viewed_D,offer_viewed_E,offer_viewed_F,offer_viewed_G,offer_viewed_H,offer_viewed_I,offer_viewed_J,offer_completed_A,offer_completed_B,offer_completed_C,offer_completed_D,offer_completed_E,offer_completed_F,offer_completed_G,offer_completed_H,offer_completed_I,offer_completed_J
0,1.0,55,112000.0,3.0,25.67,0.0,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.0,75,100000.0,7.0,22.752857142857145,1.0,0.75,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
2,0.0,68,70000.0,3.0,19.243333333333336,0.75,0.5,2,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
3,0.0,65,53000.0,3.0,12.143333333333333,1.0,0.8333333333333334,1,0,0,0,2,0,0,1,0,2,1,0,0,0,2,0,0,1,0,2,1,0,0,0,1,0,0,1,0,2,1
4,0.0,58,51000.0,4.0,3.905,0.6666666666666666,0.3333333333333333,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5,1.0,61,57000.0,6.0,14.258333333333333,1.0,0.6,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0
6,0.0,26,46000.0,11.0,5.11090909090909,0.16666666666666666,0.16666666666666666,2,1,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1.0,62,71000.0,8.0,20.03125,0.8333333333333334,0.6666666666666666,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,3,1,0,0,0
8,0.0,49,52000.0,9.0,16.012222222222228,0.6666666666666666,0.3333333333333333,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9,0.0,57,42000.0,6.0,3.1833333333333336,0.2,0.4,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
10,1.0,61,40000.0,7.0,2.968571428571429,0.6666666666666666,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,1.0,40,71000.0,16.0,18.7925,0.8,1.0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,1
12,0.0,64,100000.0,7.0,30.184285714285718,0.8,0.6,2,2,0,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
13,1.0,78,71000.0,8.0,19.432499999999997,1.0,0.16666666666666666,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
14,0.0,42,69000.0,5.0,18.28,1.0,0.75,1,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0
15,1.0,56,88000.0,3.0,25.206666666666667,1.0,0.6666666666666666,0,0,1,0,2,2,0,0,0,0,1,0,1,0,2,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1
16,1.0,33,52000.0,9.0,1.9888888888888887,0.5,0.16666666666666666,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
17,1.0,46,59000.0,1.0,2.88,0.25,0.0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.0,59,41000.0,13.0,4.006153846153846,0.8333333333333334,0.3333333333333333,2,0,0,0,2,0,0,1,2,0,1,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,1
19,0.0,67,96000.0,8.0,25.86,0.75,1.0,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,1,0
20,0.0,22,70000.0,6.0,17.73,1.0,0.6666666666666666,1,1,2,1,0,1,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0
21,1.0,96,89000.0,4.0,20.48,0.4,0.8,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1
22,0.0,40,33000.0,14.0,2.924285714285714,0.6666666666666666,0.16666666666666666,2,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
23,1.0,69,57000.0,14.0,15.249285714285715,1.0,0.6666666666666666,0,1,1,1,2,0,0,0,1,0,0,1,1,1,2,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0
24,0.0,56,68000.0,9.0,18.630000000000003,0.6666666666666666,0.6666666666666666,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
25,1.0,26,63000.0,21.0,3.4942857142857147,1.0,0.6666666666666666,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
26,0.0,75,40000.0,10.0,15.553,0.75,1.0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,2
27,1.0,20,30000.0,10.0,2.989,0.5,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.0,45,33000.0,8.0,7.65625,1.0,0.6,1,0,2,1,1,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
29,0.0,61,98000.0,8.0,29.303749999999994,0.8,0.8,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
30,1.0,69,37000.0,12.0,2.7266666666666666,0.6,0.2,0,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,1.0,54,80000.0,9.0,27.711111111111112,0.8333333333333334,0.5,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0
32,0.0,39,51000.0,14.0,3.7078571428571436,0.6,0.2,2,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
33,1.0,41,41000.0,18.0,3.4727777777777775,0.5,0.75,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
34,1.0,79,48000.0,15.0,10.133333333333333,0.5,0.5,0,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
35,1.0,66,38000.0,5.0,11.216,1.0,0.25,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
36,1.0,56,52000.0,7.0,12.444285714285712,0.3333333333333333,1.0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
37,1.0,39,56000.0,13.0,11.556153846153848,0.6,0.6,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
38,0.0,42,96000.0,12.0,26.706666666666667,1.0,1.0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1
39,1.0,78,93000.0,8.0,28.193749999999998,1.0,1.0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
40,0.0,45,48000.0,6.0,2.8333333333333335,0.5,0.0,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.0,29,50000.0,12.0,3.1808333333333327,0.5,0.25,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
42,0.0,44,35000.0,18.0,8.34611111111111,1.0,1.0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,1,0,1,0
43,0.0,63,56000.0,9.0,13.513333333333332,1.0,1.0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1
44,0.0,36,56000.0,7.0,16.97857142857143,0.6666666666666666,0.6666666666666666,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
45,1.0,76,47000.0,6.0,3.775,0.6,0.2,0,0,2,1,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,0.0,68,87000.0,8.0,22.1475,1.0,1.0,1,0,1,0,0,0,1,0,0,2,1,0,1,0,0,0,1,0,0,2,1,0,1,0,0,0,1,0,0,2,1
47,0.0,75,52000.0,11.0,12.321818181818184,1.0,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
48,0.0,67,76000.0,12.0,16.731666666666666,1.0,0.8,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,0,1,0
49,0.0,77,51000.0,11.0,2.1645454545454546,0.8,0.0,2,0,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
50,0.0,76,64000.0,8.0,13.865,0.6666666666666666,0.3333333333333333,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
51,0.0,57,98000.0,1.0,27.24,0.0,0.6666666666666666,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
52,1.0,53,72000.0,9.0,18.653333333333332,0.6666666666666666,0.8333333333333334,0,1,1,0,0,0,1,0,1,0,2,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,2
53,1.0,53,117000.0,10.0,30.320000000000004,0.8,1.0,0,1,2,0,1,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0
54,1.0,53,55000.0,8.0,2.5225,0.6,0.2,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0
55,1.0,61,112000.0,2.0,33.625,1.0,0.4,0,0,0,1,0,0,1,2,0,0,1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0
56,1.0,67,77000.0,8.0,19.466250000000002,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
57,1.0,58,85000.0,15.0,19.36133333333333,1.0,1.0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,2,0,1,0
58,1.0,46,36000.0,5.0,3.4260000000000006,0.6,0.0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.0,30,41000.0,4.0,2.9875,1.0,0.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,0.0,59,89000.0,2.0,22.700000000000003,0.6666666666666666,0.3333333333333333,2,2,0,1,0,1,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
61,0.0,51,41000.0,20.0,3.7980000000000005,0.6666666666666666,0.5,2,1,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0
62,0.0,27,35000.0,12.0,2.4633333333333334,0.8,0.2,2,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0
63,0.0,40,53000.0,5.0,1.634,0.75,0.0,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
64,1.0,73,91000.0,4.0,27.290000000000003,1.0,0.6,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0
65,1.0,74,107000.0,10.0,29.830000000000002,0.8,0.8,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0
66,0.0,42,66000.0,7.0,19.562857142857144,0.6666666666666666,0.6666666666666666,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
67,0.0,78,58000.0,10.0,12.693999999999999,1.0,0.5,1,0,3,2,0,0,0,0,1,0,0,0,3,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
68,1.0,54,53000.0,18.0,3.1683333333333334,0.8333333333333334,0.3333333333333333,0,3,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
69,1.0,70,74000.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
70,1.0,49,57000.0,10.0,18.478,1.0,0.6,0,1,0,0,1,0,1,0,2,0,0,1,0,0,1,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0
71,1.0,62,57000.0,0.0,0.0,0.6666666666666666,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0.0,64,70000.0,9.0,15.593333333333334,1.0,1.0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0
73,1.0,89,87000.0,9.0,27.62555555555555,0.75,1.0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,1
74,0.0,73,51000.0,9.0,2.6033333333333335,0.8,0.2,2,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
