,gender,age,income,transaction_frequency,average_transaction_amount,click_rate,completion_rate,offer_received_A,offer_received_B,offer_received_C,offer_received_D,offer_received_E,offer_received_F,offer_received_G,offer_received_H,offer_received_I,offer_received_J,offer_viewed_A,offer_viewed_B,offer_viewed_C,offer_viewed_D,offer_viewed_E,offer_viewed_F,offer_viewed_G,offer_viewed_H,offer_viewed_I,offer_viewed_J,cluster_0,cluster_1,cluster_2
9723,0.0,0.24096385542168677,0.3111111111111111,0.2222222222222222,0.007328836910536693,0.75,0.25,0.25,0.25,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0
2996,1.0,0.6144578313253012,0.033333333333333326,0.2222222222222222,0.01750946906771214,0.75,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
1369,0.0,0.4457831325301205,0.34444444444444444,0.3055555555555555,0.010138597752392689,0.4,0.2,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0,1.0
740,0.0,0.6144578313253012,0.06666666666666665,0.5277777777777778,0.006614649455055009,0.75,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0
13174,0.0,0.24096385542168677,0.5,0.41666666666666663,0.04429530201342283,1.0,0.6,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.2,0.2,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0,0.0
8147,0.0,0.3855421686746988,0.688888888888889,0.16666666666666666,0.06519443890697796,0.8,0.8,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0
1188,0.0,0.49397590361445787,0.3666666666666667,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.25,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,1.0
13105,0.0,0.3132530120481928,0.19999999999999996,0.1388888888888889,0.01903559483465125,0.75,0.5,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13621,0.0,0.49397590361445787,0.5,0.1111111111111111,0.041414711940992756,0.6,0.4,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0
1570,0.0,0.5060240963855421,0.3555555555555555,0.3055555555555555,0.03414905248914154,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,1.0
